"Notes"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2008"	"2008"	42	366886	11.448	1.766
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2009"	"2009"	38	377794	10.058	1.632
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2010"	"2010"	51	388396	13.131	1.839
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2011"	"2011"	56	396679	14.117	1.886
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2012"	"2012"	43	404799	10.623	1.620
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2013"	"2013"	44	413175	10.649	1.605
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2014"	"2014"	54	418483	12.904	1.756
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2015"	"2015"	47	423293	11.103	1.620
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2016"	"2016"	42	428158	9.809	1.514
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2017"	"2017"	44	427983	10.281	1.550
	"55-59 years"	"55-59"	"Wisconsin"	"55"	"2018"	"2018"	55	425829	12.916	1.742
	"60-64 years "	"60-64"	"Alabama"	"01"	"1999"	"1999"	31	189814	16.332	2.933
	"60-64 years "	"60-64"	"Alabama"	"01"	"2000"	"2000"	26	190880	13.621	2.671
	"60-64 years "	"60-64"	"Alabama"	"01"	"2001"	"2001"	23	193822	11.867	2.474
	"60-64 years "	"60-64"	"Alabama"	"01"	"2002"	"2002"	24	198880	12.068	2.463
	"60-64 years "	"60-64"	"Alabama"	"01"	"2003"	"2003"	26	207119	12.553	2.462
	"60-64 years "	"60-64"	"Alabama"	"01"	"2004"	"2004"	32	214983	14.885	2.631
	"60-64 years "	"60-64"	"Alabama"	"01"	"2005"	"2005"	23	220281	10.441	2.177
	"60-64 years "	"60-64"	"Alabama"	"01"	"2006"	"2006"	31	226567	13.682	2.457
	"60-64 years "	"60-64"	"Alabama"	"01"	"2007"	"2007"	30	244043	12.293	2.244
	"60-64 years "	"60-64"	"Alabama"	"01"	"2008"	"2008"	38	254507	14.931	2.422
	"60-64 years "	"60-64"	"Alabama"	"01"	"2009"	"2009"	39	265870	14.669	2.349
	"60-64 years "	"60-64"	"Alabama"	"01"	"2010"	"2010"	31	278300	11.139	2.001
	"60-64 years "	"60-64"	"Alabama"	"01"	"2011"	"2011"	42	289721	14.497	2.237
	"60-64 years "	"60-64"	"Alabama"	"01"	"2012"	"2012"	44	287611	15.298	2.306
	"60-64 years "	"60-64"	"Alabama"	"01"	"2013"	"2013"	36	289377	12.441	2.073
	"60-64 years "	"60-64"	"Alabama"	"01"	"2014"	"2014"	40	293854	13.612	2.152
	"60-64 years "	"60-64"	"Alabama"	"01"	"2015"	"2015"	31	299946	10.335	1.856
	"60-64 years "	"60-64"	"Alabama"	"01"	"2016"	"2016"	38	306332	12.405	2.012
	"60-64 years "	"60-64"	"Alabama"	"01"	"2017"	"2017"	45	313289	14.364	2.141
	"60-64 years "	"60-64"	"Alabama"	"01"	"2018"	"2018"	46	318300	14.452	2.131
	"60-64 years "	"60-64"	"Arizona"	"04"	"1999"	"1999"	30	198437	15.118	2.760
	"60-64 years "	"60-64"	"Arizona"	"04"	"2000"	"2000"	30	205427	14.604	2.666
	"60-64 years "	"60-64"	"Arizona"	"04"	"2001"	"2001"	19	212982	8.921	2.047
	"60-64 years "	"60-64"	"Arizona"	"04"	"2002"	"2002"	23	223663	10.283	2.144
	"60-64 years "	"60-64"	"Arizona"	"04"	"2003"	"2003"	36	238395	15.101	2.517
	"60-64 years "	"60-64"	"Arizona"	"04"	"2004"	"2004"	29	252985	11.463	2.129
	"60-64 years "	"60-64"	"Arizona"	"04"	"2005"	"2005"	39	268283	14.537	2.328
	"60-64 years "	"60-64"	"Arizona"	"04"	"2006"	"2006"	36	282272	12.754	2.126
	"60-64 years "	"60-64"	"Arizona"	"04"	"2007"	"2007"	38	303835	12.507	2.029
	"60-64 years "	"60-64"	"Arizona"	"04"	"2008"	"2008"	40	320414	12.484	1.974
	"60-64 years "	"60-64"	"Arizona"	"04"	"2009"	"2009"	46	335404	13.715	2.022
	"60-64 years "	"60-64"	"Arizona"	"04"	"2010"	"2010"	49	354180	13.835	1.976
	"60-64 years "	"60-64"	"Arizona"	"04"	"2011"	"2011"	52	369587	14.070	1.951
	"60-64 years "	"60-64"	"Arizona"	"04"	"2012"	"2012"	54	366481	14.735	2.005
	"60-64 years "	"60-64"	"Arizona"	"04"	"2013"	"2013"	64	370555	17.271	2.159
	"60-64 years "	"60-64"	"Arizona"	"04"	"2014"	"2014"	51	377972	13.493	1.889
	"60-64 years "	"60-64"	"Arizona"	"04"	"2015"	"2015"	51	387626	13.157	1.842
	"60-64 years "	"60-64"	"Arizona"	"04"	"2016"	"2016"	44	398526	11.041	1.664
	"60-64 years "	"60-64"	"Arizona"	"04"	"2017"	"2017"	51	411292	12.400	1.736
	"60-64 years "	"60-64"	"Arizona"	"04"	"2018"	"2018"	43	423285	10.159	1.549
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2003"	"2003"	23	129820	17.717	3.694
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2004"	"2004"	18	134511	13.382	3.154
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2005"	"2005"	16	138138	11.583	2.896
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2006"	"2006"	19	141109	13.465	3.089
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2007"	"2007"	19	150870	12.594	2.889
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2008"	"2008"	20	156485	12.781	2.858
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2010"	"2010"	25	168307	14.854	2.971
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2011"	"2011"	28	174822	16.016	3.027
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2012"	"2012"	25	172121	14.525	2.905
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2013"	"2013"	28	172709	16.212	3.064
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2014"	"2014"	25	174641	14.315	2.863
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2015"	"2015"	18	177401	10.147	2.392
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2016"	"2016"	28	180304	15.529	2.935
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2017"	"2017"	26	183824	14.144	2.774
	"60-64 years "	"60-64"	"Arkansas"	"05"	"2018"	"2018"	21	186034	11.288	2.463
	"60-64 years "	"60-64"	"California"	"06"	"1999"	"1999"	156	1127145	13.840	1.108
	"60-64 years "	"60-64"	"California"	"06"	"2000"	"2000"	134	1152792	11.624	1.004
	"60-64 years "	"60-64"	"California"	"06"	"2001"	"2001"	166	1187864	13.975	1.085
	"60-64 years "	"60-64"	"California"	"06"	"2002"	"2002"	157	1233023	12.733	1.016
	"60-64 years "	"60-64"	"California"	"06"	"2003"	"2003"	172	1298841	13.243	1.010
	"60-64 years "	"60-64"	"California"	"06"	"2004"	"2004"	205	1351654	15.167	1.059
	"60-64 years "	"60-64"	"California"	"06"	"2005"	"2005"	172	1400411	12.282	0.937
	"60-64 years "	"60-64"	"California"	"06"	"2006"	"2006"	173	1449951	11.931	0.907
	"60-64 years "	"60-64"	"California"	"06"	"2007"	"2007"	218	1574798	13.843	0.938
	"60-64 years "	"60-64"	"California"	"06"	"2008"	"2008"	195	1654246	11.788	0.844
	"60-64 years "	"60-64"	"California"	"06"	"2009"	"2009"	222	1749424	12.690	0.852
	"60-64 years "	"60-64"	"California"	"06"	"2010"	"2010"	254	1851488	13.719	0.861
	"60-64 years "	"60-64"	"California"	"06"	"2011"	"2011"	245	1939208	12.634	0.807
	"60-64 years "	"60-64"	"California"	"06"	"2012"	"2012"	255	1952704	13.059	0.818
	"60-64 years "	"60-64"	"California"	"06"	"2013"	"2013"	227	1996434	11.370	0.755
	"60-64 years "	"60-64"	"California"	"06"	"2014"	"2014"	252	2052334	12.279	0.773
	"60-64 years "	"60-64"	"California"	"06"	"2015"	"2015"	233	2111035	11.037	0.723
	"60-64 years "	"60-64"	"California"	"06"	"2016"	"2016"	263	2164450	12.151	0.749
	"60-64 years "	"60-64"	"California"	"06"	"2017"	"2017"	308	2219396	13.878	0.791
	"60-64 years "	"60-64"	"California"	"06"	"2018"	"2018"	275	2256644	12.186	0.735
	"60-64 years "	"60-64"	"Colorado"	"08"	"1999"	"1999"	26	142207	18.283	3.586
	"60-64 years "	"60-64"	"Colorado"	"08"	"2000"	"2000"	19	145887	13.024	2.988
	"60-64 years "	"60-64"	"Colorado"	"08"	"2001"	"2001"	16	151870	10.535	2.634
	"60-64 years "	"60-64"	"Colorado"	"08"	"2002"	"2002"	29	159381	18.195	3.379
	"60-64 years "	"60-64"	"Colorado"	"08"	"2003"	"2003"	18	170587	10.552	2.487
	"60-64 years "	"60-64"	"Colorado"	"08"	"2004"	"2004"	20	179869	11.119	2.486
	"60-64 years "	"60-64"	"Colorado"	"08"	"2005"	"2005"	35	189801	18.440	3.117
	"60-64 years "	"60-64"	"Colorado"	"08"	"2006"	"2006"	21	199307	10.537	2.299
	"60-64 years "	"60-64"	"Colorado"	"08"	"2007"	"2007"	20	222515	8.988	2.010
	"60-64 years "	"60-64"	"Colorado"	"08"	"2008"	"2008"	42	238572	17.605	2.716
	"60-64 years "	"60-64"	"Colorado"	"08"	"2009"	"2009"	39	255522	15.263	2.444
	"60-64 years "	"60-64"	"Colorado"	"08"	"2010"	"2010"	34	273182	12.446	2.134
	"60-64 years "	"60-64"	"Colorado"	"08"	"2011"	"2011"	34	290406	11.708	2.008
	"60-64 years "	"60-64"	"Colorado"	"08"	"2012"	"2012"	43	293850	14.633	2.232
	"60-64 years "	"60-64"	"Colorado"	"08"	"2013"	"2013"	36	302864	11.887	1.981
	"60-64 years "	"60-64"	"Colorado"	"08"	"2014"	"2014"	42	311883	13.467	2.078
	"60-64 years "	"60-64"	"Colorado"	"08"	"2015"	"2015"	42	321371	13.069	2.017
	"60-64 years "	"60-64"	"Colorado"	"08"	"2016"	"2016"	42	329555	12.744	1.967
	"60-64 years "	"60-64"	"Colorado"	"08"	"2017"	"2017"	50	337480	14.816	2.095
	"60-64 years "	"60-64"	"Colorado"	"08"	"2018"	"2018"	48	343426	13.977	2.017
	"60-64 years "	"60-64"	"Connecticut"	"09"	"1999"	"1999"	24	130887	18.336	3.743
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2000"	"2000"	22	132266	16.633	3.546
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2001"	"2001"	17	135156	12.578	3.051
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2002"	"2002"	20	141107	14.174	3.169
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2003"	"2003"	21	151753	13.838	3.020
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2004"	"2004"	20	158717	12.601	2.818
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2005"	"2005"	23	163544	14.063	2.932
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2006"	"2006"	25	169373	14.760	2.952
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2007"	"2007"	25	183958	13.590	2.718
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2008"	"2008"	26	188810	13.770	2.701
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2009"	"2009"	30	196400	15.275	2.789
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2010"	"2010"	26	204598	12.708	2.492
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2011"	"2011"	33	211743	15.585	2.713
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2012"	"2012"	22	209767	10.488	2.236
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2013"	"2013"	33	213196	15.479	2.694
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2014"	"2014"	31	218694	14.175	2.546
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2015"	"2015"	36	224907	16.007	2.668
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2016"	"2016"	33	231102	14.279	2.486
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2017"	"2017"	27	237446	11.371	2.188
	"60-64 years "	"60-64"	"Connecticut"	"09"	"2018"	"2018"	34	242295	14.032	2.407
	"60-64 years "	"60-64"	"Florida"	"12"	"1999"	"1999"	107	720321	14.854	1.436
	"60-64 years "	"60-64"	"Florida"	"12"	"2000"	"2000"	115	743001	15.478	1.443
	"60-64 years "	"60-64"	"Florida"	"12"	"2001"	"2001"	114	766195	14.879	1.394
	"60-64 years "	"60-64"	"Florida"	"12"	"2002"	"2002"	124	796937	15.560	1.397
	"60-64 years "	"60-64"	"Florida"	"12"	"2003"	"2003"	114	843248	13.519	1.266
	"60-64 years "	"60-64"	"Florida"	"12"	"2004"	"2004"	111	887744	12.504	1.187
	"60-64 years "	"60-64"	"Florida"	"12"	"2005"	"2005"	118	927259	12.726	1.171
	"60-64 years "	"60-64"	"Florida"	"12"	"2006"	"2006"	137	958167	14.298	1.222
	"60-64 years "	"60-64"	"Florida"	"12"	"2007"	"2007"	148	1020705	14.500	1.192
	"60-64 years "	"60-64"	"Florida"	"12"	"2008"	"2008"	125	1058462	11.810	1.056
	"60-64 years "	"60-64"	"Florida"	"12"	"2009"	"2009"	156	1095519	14.240	1.140
	"60-64 years "	"60-64"	"Florida"	"12"	"2010"	"2010"	148	1143058	12.948	1.064
	"60-64 years "	"60-64"	"Florida"	"12"	"2011"	"2011"	149	1187959	12.543	1.028
	"60-64 years "	"60-64"	"Florida"	"12"	"2012"	"2012"	165	1175424	14.037	1.093
	"60-64 years "	"60-64"	"Florida"	"12"	"2013"	"2013"	155	1188318	13.044	1.048
	"60-64 years "	"60-64"	"Florida"	"12"	"2014"	"2014"	138	1218717	11.323	0.964
	"60-64 years "	"60-64"	"Florida"	"12"	"2015"	"2015"	165	1257151	13.125	1.022
	"60-64 years "	"60-64"	"Florida"	"12"	"2016"	"2016"	196	1296810	15.114	1.080
	"60-64 years "	"60-64"	"Florida"	"12"	"2017"	"2017"	165	1340578	12.308	0.958
	"60-64 years "	"60-64"	"Florida"	"12"	"2018"	"2018"	179	1377219	12.997	0.971
	"60-64 years "	"60-64"	"Georgia"	"13"	"1999"	"1999"	33	280449	11.767	2.048
	"60-64 years "	"60-64"	"Georgia"	"13"	"2000"	"2000"	35	288239	12.143	2.052
	"60-64 years "	"60-64"	"Georgia"	"13"	"2001"	"2001"	39	298870	13.049	2.090
	"60-64 years "	"60-64"	"Georgia"	"13"	"2002"	"2002"	39	312985	12.461	1.995
	"60-64 years "	"60-64"	"Georgia"	"13"	"2003"	"2003"	46	334301	13.760	2.029
	"60-64 years "	"60-64"	"Georgia"	"13"	"2004"	"2004"	50	351031	14.244	2.014
	"60-64 years "	"60-64"	"Georgia"	"13"	"2005"	"2005"	56	367749	15.228	2.035
	"60-64 years "	"60-64"	"Georgia"	"13"	"2006"	"2006"	55	383636	14.337	1.933
	"60-64 years "	"60-64"	"Georgia"	"13"	"2007"	"2007"	49	422824	11.589	1.656
	"60-64 years "	"60-64"	"Georgia"	"13"	"2008"	"2008"	52	447320	11.625	1.612
	"60-64 years "	"60-64"	"Georgia"	"13"	"2009"	"2009"	62	474041	13.079	1.661
	"60-64 years "	"60-64"	"Georgia"	"13"	"2010"	"2010"	59	500983	11.777	1.533
	"60-64 years "	"60-64"	"Georgia"	"13"	"2011"	"2011"	62	524682	11.817	1.501
	"60-64 years "	"60-64"	"Georgia"	"13"	"2012"	"2012"	63	523397	12.037	1.516
	"60-64 years "	"60-64"	"Georgia"	"13"	"2013"	"2013"	53	529086	10.017	1.376
	"60-64 years "	"60-64"	"Georgia"	"13"	"2014"	"2014"	57	540382	10.548	1.397
	"60-64 years "	"60-64"	"Georgia"	"13"	"2015"	"2015"	70	554970	12.613	1.508
	"60-64 years "	"60-64"	"Georgia"	"13"	"2016"	"2016"	68	570461	11.920	1.446
	"60-64 years "	"60-64"	"Georgia"	"13"	"2017"	"2017"	62	588787	10.530	1.337
	"60-64 years "	"60-64"	"Georgia"	"13"	"2018"	"2018"	55	602990	9.121	1.230
	"60-64 years "	"60-64"	"Hawaii"	"15"	"2012"	"2012"	16	87088	18.372	4.593
	"60-64 years "	"60-64"	"Idaho"	"16"	"2007"	"2007"	16	71768	22.294	5.574
	"60-64 years "	"60-64"	"Idaho"	"16"	"2015"	"2015"	20	97662	20.479	4.579
	"60-64 years "	"60-64"	"Idaho"	"16"	"2017"	"2017"	20	103809	19.266	4.308
	"60-64 years "	"60-64"	"Idaho"	"16"	"2018"	"2018"	20	106189	18.834	4.211
	"60-64 years "	"60-64"	"Illinois"	"17"	"1999"	"1999"	61	461748	13.211	1.691
	"60-64 years "	"60-64"	"Illinois"	"17"	"2000"	"2000"	60	464665	12.913	1.667
	"60-64 years "	"60-64"	"Illinois"	"17"	"2001"	"2001"	61	471511	12.937	1.656
	"60-64 years "	"60-64"	"Illinois"	"17"	"2002"	"2002"	60	487129	12.317	1.590
	"60-64 years "	"60-64"	"Illinois"	"17"	"2003"	"2003"	60	509631	11.773	1.520
	"60-64 years "	"60-64"	"Illinois"	"17"	"2004"	"2004"	69	523872	13.171	1.586
	"60-64 years "	"60-64"	"Illinois"	"17"	"2005"	"2005"	81	533991	15.169	1.685
	"60-64 years "	"60-64"	"Illinois"	"17"	"2006"	"2006"	69	544441	12.674	1.526
	"60-64 years "	"60-64"	"Illinois"	"17"	"2007"	"2007"	80	585472	13.664	1.528
	"60-64 years "	"60-64"	"Illinois"	"17"	"2008"	"2008"	82	607263	13.503	1.491
	"60-64 years "	"60-64"	"Illinois"	"17"	"2009"	"2009"	90	636573	14.138	1.490
	"60-64 years "	"60-64"	"Illinois"	"17"	"2010"	"2010"	83	672860	12.335	1.354
	"60-64 years "	"60-64"	"Illinois"	"17"	"2011"	"2011"	102	708005	14.407	1.426
	"60-64 years "	"60-64"	"Illinois"	"17"	"2012"	"2012"	94	709523	13.248	1.366
	"60-64 years "	"60-64"	"Illinois"	"17"	"2013"	"2013"	95	722292	13.153	1.349
	"60-64 years "	"60-64"	"Illinois"	"17"	"2014"	"2014"	88	738407	11.918	1.270
	"60-64 years "	"60-64"	"Illinois"	"17"	"2015"	"2015"	101	756183	13.357	1.329
	"60-64 years "	"60-64"	"Illinois"	"17"	"2016"	"2016"	108	769854	14.029	1.350
	"60-64 years "	"60-64"	"Illinois"	"17"	"2017"	"2017"	95	785619	12.092	1.241
	"60-64 years "	"60-64"	"Illinois"	"17"	"2018"	"2018"	73	797198	9.157	1.072
	"60-64 years "	"60-64"	"Indiana"	"18"	"1999"	"1999"	32	234501	13.646	2.412
	"60-64 years "	"60-64"	"Indiana"	"18"	"2000"	"2000"	29	236858	12.244	2.274
	"60-64 years "	"60-64"	"Indiana"	"18"	"2001"	"2001"	37	242189	15.277	2.512
	"60-64 years "	"60-64"	"Indiana"	"18"	"2002"	"2002"	28	250725	11.168	2.110
	"60-64 years "	"60-64"	"Indiana"	"18"	"2003"	"2003"	43	263296	16.331	2.491
	"60-64 years "	"60-64"	"Indiana"	"18"	"2004"	"2004"	38	270823	14.031	2.276
	"60-64 years "	"60-64"	"Indiana"	"18"	"2005"	"2005"	38	278475	13.646	2.214
	"60-64 years "	"60-64"	"Indiana"	"18"	"2006"	"2006"	48	283688	16.920	2.442
	"60-64 years "	"60-64"	"Indiana"	"18"	"2007"	"2007"	45	307215	14.648	2.184
	"60-64 years "	"60-64"	"Indiana"	"18"	"2008"	"2008"	51	319378	15.969	2.236
	"60-64 years "	"60-64"	"Indiana"	"18"	"2009"	"2009"	54	336550	16.045	2.183
	"60-64 years "	"60-64"	"Indiana"	"18"	"2010"	"2010"	56	354296	15.806	2.112
	"60-64 years "	"60-64"	"Indiana"	"18"	"2011"	"2011"	58	372415	15.574	2.045
	"60-64 years "	"60-64"	"Indiana"	"18"	"2012"	"2012"	39	372928	10.458	1.675
	"60-64 years "	"60-64"	"Indiana"	"18"	"2013"	"2013"	58	380123	15.258	2.004
	"60-64 years "	"60-64"	"Indiana"	"18"	"2014"	"2014"	40	388461	10.297	1.628
	"60-64 years "	"60-64"	"Indiana"	"18"	"2015"	"2015"	46	397639	11.568	1.706
	"60-64 years "	"60-64"	"Indiana"	"18"	"2016"	"2016"	51	406177	12.556	1.758
	"60-64 years "	"60-64"	"Indiana"	"18"	"2017"	"2017"	43	414710	10.369	1.581
	"60-64 years "	"60-64"	"Indiana"	"18"	"2018"	"2018"	55	422201	13.027	1.757
	"60-64 years "	"60-64"	"Iowa"	"19"	"1999"	"1999"	20	118821	16.832	3.764
	"60-64 years "	"60-64"	"Iowa"	"19"	"2000"	"2000"	20	118855	16.827	3.763
	"60-64 years "	"60-64"	"Iowa"	"19"	"2002"	"2002"	21	122646	17.122	3.736
	"60-64 years "	"60-64"	"Iowa"	"19"	"2003"	"2003"	20	127419	15.696	3.510
	"60-64 years "	"60-64"	"Iowa"	"19"	"2004"	"2004"	19	130741	14.533	3.334
	"60-64 years "	"60-64"	"Iowa"	"19"	"2006"	"2006"	19	135795	13.992	3.210
	"60-64 years "	"60-64"	"Iowa"	"19"	"2007"	"2007"	24	146906	16.337	3.335
	"60-64 years "	"60-64"	"Iowa"	"19"	"2008"	"2008"	24	153268	15.659	3.196
	"60-64 years "	"60-64"	"Iowa"	"19"	"2009"	"2009"	16	161057	9.934	2.484
	"60-64 years "	"60-64"	"Iowa"	"19"	"2010"	"2010"	22	170417	12.910	2.752
	"60-64 years "	"60-64"	"Iowa"	"19"	"2011"	"2011"	29	180573	16.060	2.982
	"60-64 years "	"60-64"	"Iowa"	"19"	"2012"	"2012"	32	182269	17.556	3.104
	"60-64 years "	"60-64"	"Iowa"	"19"	"2013"	"2013"	27	186507	14.477	2.786
	"60-64 years "	"60-64"	"Iowa"	"19"	"2014"	"2014"	33	190803	17.295	3.011
	"60-64 years "	"60-64"	"Iowa"	"19"	"2015"	"2015"	34	195474	17.394	2.983
	"60-64 years "	"60-64"	"Iowa"	"19"	"2016"	"2016"	40	198372	20.164	3.188
	"60-64 years "	"60-64"	"Iowa"	"19"	"2017"	"2017"	34	201021	16.914	2.901
	"60-64 years "	"60-64"	"Iowa"	"19"	"2018"	"2018"	28	203547	13.756	2.600
	"60-64 years "	"60-64"	"Kansas"	"20"	"2002"	"2002"	16	103693	15.430	3.858
	"60-64 years "	"60-64"	"Kansas"	"20"	"2006"	"2006"	19	118498	16.034	3.678
	"60-64 years "	"60-64"	"Kansas"	"20"	"2007"	"2007"	23	129429	17.770	3.705
	"60-64 years "	"60-64"	"Kansas"	"20"	"2008"	"2008"	21	135325	15.518	3.386
	"60-64 years "	"60-64"	"Kansas"	"20"	"2009"	"2009"	19	142409	13.342	3.061
	"60-64 years "	"60-64"	"Kansas"	"20"	"2010"	"2010"	29	150572	19.260	3.576
	"60-64 years "	"60-64"	"Kansas"	"20"	"2011"	"2011"	34	159182	21.359	3.663
	"60-64 years "	"60-64"	"Kansas"	"20"	"2012"	"2012"	19	160064	11.870	2.723
	"60-64 years "	"60-64"	"Kansas"	"20"	"2013"	"2013"	31	163638	18.944	3.402
	"60-64 years "	"60-64"	"Kansas"	"20"	"2014"	"2014"	21	168027	12.498	2.727
	"60-64 years "	"60-64"	"Kansas"	"20"	"2015"	"2015"	20	172534	11.592	2.592
	"60-64 years "	"60-64"	"Kansas"	"20"	"2016"	"2016"	22	175953	12.503	2.666
	"60-64 years "	"60-64"	"Kansas"	"20"	"2017"	"2017"	23	179396	12.821	2.673
	"60-64 years "	"60-64"	"Kansas"	"20"	"2018"	"2018"	24	181475	13.225	2.700
	"60-64 years "	"60-64"	"Kentucky"	"21"	"1999"	"1999"	25	166288	15.034	3.007
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2000"	"2000"	26	168986	15.386	3.017
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2001"	"2001"	20	173020	11.559	2.585
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2002"	"2002"	25	179629	13.918	2.784
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2003"	"2003"	23	187971	12.236	2.551
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2004"	"2004"	28	192768	14.525	2.745
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2005"	"2005"	33	198043	16.663	2.901
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2006"	"2006"	36	202771	17.754	2.959
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2007"	"2007"	30	218956	13.701	2.502
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2008"	"2008"	38	229628	16.549	2.685
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2009"	"2009"	51	241381	21.128	2.959
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2010"	"2010"	43	253300	16.976	2.589
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2011"	"2011"	49	265318	18.468	2.638
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2012"	"2012"	40	263696	15.169	2.398
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2013"	"2013"	40	265943	15.041	2.378
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2014"	"2014"	38	269903	14.079	2.284
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2015"	"2015"	33	275510	11.978	2.085
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2016"	"2016"	40	279837	14.294	2.260
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2017"	"2017"	49	284443	17.227	2.461
	"60-64 years "	"60-64"	"Kentucky"	"21"	"2018"	"2018"	36	289315	12.443	2.074
	"60-64 years "	"60-64"	"Louisiana"	"22"	"1999"	"1999"	23	169228	13.591	2.834
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2000"	"2000"	25	170890	14.629	2.926
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2001"	"2001"	21	174623	12.026	2.624
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2002"	"2002"	21	180351	11.644	2.541
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2003"	"2003"	23	188104	12.227	2.550
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2004"	"2004"	24	194085	12.366	2.524
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2005"	"2005"	29	194152	14.937	2.774
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2006"	"2006"	24	194988	12.308	2.512
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2007"	"2007"	34	211429	16.081	2.758
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2008"	"2008"	32	222222	14.400	2.546
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2009"	"2009"	32	233325	13.715	2.424
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2010"	"2010"	37	245812	15.052	2.475
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2011"	"2011"	20	259033	7.721	1.726
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2012"	"2012"	42	259181	16.205	2.500
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2013"	"2013"	29	264014	10.984	2.040
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2014"	"2014"	27	270622	9.977	1.920
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2015"	"2015"	22	278370	7.903	1.685
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2016"	"2016"	31	284396	10.900	1.958
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2017"	"2017"	29	290386	9.987	1.854
	"60-64 years "	"60-64"	"Louisiana"	"22"	"2018"	"2018"	43	294106	14.621	2.230
