"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Incidence Counts	Incidence Population
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2006"	"2006"	0.581	211	5163555	358	5163555
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2007"	"2007"	0.785	261	5207203	327	5207203
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2008"	"2008"	0.657	243	5247018	358	5247018
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2009"	"2009"	0.675	248	5281203	361	5281203
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2010"	"2010"	0.717	268	5310828	353	5310828
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2011"	"2011"	0.651	264	5346143	393	5346143
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2012"	"2012"	0.598	273	5376643	441	5376643
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2013"	"2013"	0.636	259	5413479	395	5413479
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2014"	"2014"	0.626	286	5451079	438	5451079
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2015"	"2015"	0.657	316	5482032	458	5482032
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2016"	"2016"	0.673	304	5522744	424	5522744
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2017"	"2017"	0.685	307	5566230	424	5566230
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2018"	"2018"	0.707	320	5606249	430	5606249
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2003"	"2003"	0.834	142	2868312	172	2868312
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2004"	"2004"	0.786	143	2889010	182	2889010
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2005"	"2005"	0.844	160	2876229	189	2876229
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2006"	"2006"	0.715	125	2904978	175	2904978
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2007"	"2007"	0.645	133	2928350	205	2928350
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2008"	"2008"	0.749	138	2947806	188	2947806
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2009"	"2009"	0.802	137	2958774	166	2958774
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2010"	"2010"	0.661	139	2970548	205	2970548
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2011"	"2011"	0.728	150	2978731	200	2978731
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2012"	"2012"	0.778	167	2983816	211	2983816
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2013"	"2013"	0.889	173	2988711	189	2988711
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2014"	"2014"	0.843	193	2990468	218	2990468
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2015"	"2015"	1.026 (Unreliable)	181	2988471	172	2988471
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2016"	"2016"	0.783	166	2987938	202	2987938
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2017"	"2017"	0.715	156	2988510	197	2988510
	"Brain and Other Nervous System"	"31010-31040"	"Mississippi"	"28"	"2018"	"2018"	0.960	177	2981020	179	2981020
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"1999"	"1999"	0.699	288	5561948	409	5561948
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2000"	"2000"	0.695	286	5607285	408	5607285
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2001"	"2001"	0.666	265	5641142	390	5641142
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2002"	"2002"	0.629	267	5674825	418	5674825
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2003"	"2003"	0.675	268	5709403	393	5709403
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2004"	"2004"	0.663	286	5747741	423	5747741
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2005"	"2005"	0.635	287	5790300	439	5790300
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2006"	"2006"	0.622	265	5842704	415	5842704
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2007"	"2007"	0.625	296	5887612	459	5887612
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2008"	"2008"	0.683	307	5923916	435	5923916
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2009"	"2009"	0.655	313	5961088	466	5961088
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2010"	"2010"	0.648	292	5995974	431	5995974
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2011"	"2011"	0.666	288	6010275	420	6010275
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2012"	"2012"	0.647	315	6024367	465	6024367
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2013"	"2013"	0.674	306	6040715	429	6040715
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2014"	"2014"	0.607	313	6056202	478	6056202
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2015"	"2015"	0.592	293	6071732	455	6071732
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2016"	"2016"	0.697	344	6087135	462	6087135
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2017"	"2017"	0.651	340	6106670	481	6106670
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2018"	"2018"	0.708	327	6121623	431	6121623
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"1999"	"1999"	0.798	48	897507	59	897507
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2000"	"2000"	0.747	53	903773	70	903773
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2001"	"2001"	0.662	40	906961	60	906961
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2002"	"2002"	0.502	46	911667	88	911667
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2003"	"2003"	0.753	55	919630	73	919630
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2004"	"2004"	0.591	47	930009	78	930009
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2005"	"2005"	0.592	54	940102	86	940102
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2006"	"2006"	0.633	49	952692	75	952692
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2007"	"2007"	0.817	55	964706	66	964706
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2008"	"2008"	0.584	51	976415	79	976415
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2009"	"2009"	0.515	39	983982	76	983982
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2010"	"2010"	0.596	56	990697	88	990697
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2011"	"2011"	0.715	67	997316	89	997316
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2012"	"2012"	0.576	58	1003783	85	1003783
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2013"	"2013"	0.536	53	1013569	89	1013569
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2014"	"2014"	0.596	60	1021869	91	1021869
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2015"	"2015"	0.741	72	1030475	98	1030475
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2016"	"2016"	0.603	63	1040859	92	1040859
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2017"	"2017"	0.735	64	1052482	80	1052482
	"Brain and Other Nervous System"	"31010-31040"	"Montana"	"30"	"2018"	"2018"	0.693	66	1060665	90	1060665
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"1999"	"1999"	0.738	96	1704764	129	1704764
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2000"	"2000"	0.814	101	1713820	123	1713820
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2001"	"2001"	0.626	86	1719836	135	1719836
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2002"	"2002"	0.688	89	1728292	128	1728292
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2003"	"2003"	0.722	82	1738643	110	1738643
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2004"	"2004"	0.753	96	1749370	124	1749370
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2005"	"2005"	0.635	90	1761497	141	1761497
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2006"	"2006"	0.577	80	1772693	131	1772693
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2007"	"2007"	0.749	104	1783440	137	1783440
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2008"	"2008"	0.729	104	1796378	139	1796378
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2009"	"2009"	0.692	97	1812683	137	1812683
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2010"	"2010"	0.560	88	1829542	150	1829542
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2011"	"2011"	0.701	116	1840672	160	1840672
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2012"	"2012"	0.688	97	1853303	136	1853303
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2013"	"2013"	0.792	110	1865279	138	1865279
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2014"	"2014"	0.691	104	1879321	146	1879321
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2015"	"2015"	0.741	109	1891277	138	1891277
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2016"	"2016"	0.729	107	1905616	139	1905616
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2017"	"2017"	0.637	110	1915947	166	1915947
	"Brain and Other Nervous System"	"31010-31040"	"Nebraska"	"31"	"2018"	"2018"	0.716	111	1925614	145	1925614
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"1999"	"1999"	0.652	81	1934718	126	1934718
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2000"	"2000"	0.749	85	2018741	117	2018741
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2001"	"2001"	0.588	71	2098399	122	2098399
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2002"	"2002"	0.576	79	2173791	144	2173791
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2003"	"2003"	0.669	98	2248850	152	2248850
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2004"	"2004"	0.577	94	2346222	164	2346222
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2005"	"2005"	0.671	99	2432143	149	2432143
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2006"	"2006"	0.678	110	2522658	168	2522658
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2007"	"2007"	0.614	100	2601072	162	2601072
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2008"	"2008"	0.713	112	2653630	160	2653630
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2009"	"2009"	0.694	96	2684665	138	2684665
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2010"	"2010"	0.684	110	2702405	164	2702405
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2011"	"2011"	0.737	123	2712730	168	2712730
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2012"	"2012"	0.769	128	2743996	166	2743996
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2013"	"2013"	0.604	113	2775970	188	2775970
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2014"	"2014"	0.770	141	2817628	183	2817628
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2015"	"2015"	0.655	144	2866939	209	2866939
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2016"	"2016"	0.725	164	2917563	216	2917563
	"Brain and Other Nervous System"	"31010-31040"	"Nevada"	"32"	"2017"	"2017"	0.762	173	2969905	218	2969905
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"1999"	"1999"	0.726	62	1222014	85	1222014
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2000"	"2000"	0.635	57	1239882	89	1239882
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2001"	"2001"	0.628	63	1255517	100	1255517
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2002"	"2002"	0.822	71	1269089	86	1269089
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2003"	"2003"	0.534	53	1279840	97	1279840
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2004"	"2004"	0.652	72	1290121	108	1290121
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2005"	"2005"	0.649	66	1298492	101	1298492
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2006"	"2006"	0.708	71	1308389	99	1308389
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2007"	"2007"	0.634	62	1312540	102	1312540
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2008"	"2008"	0.632	69	1315906	99	1315906
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2009"	"2009"	0.511	70	1316102	129	1316102
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2010"	"2010"	0.625	79	1316762	118	1316762
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2011"	"2011"	0.559	74	1320202	118	1320202
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2012"	"2012"	0.670	73	1324232	103	1324232
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2013"	"2013"	0.617	67	1326622	107	1326622
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2014"	"2014"	0.657	89	1333341	117	1333341
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2015"	"2015"	0.643	75	1336350	111	1336350
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2016"	"2016"	0.739	93	1342307	120	1342307
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2017"	"2017"	0.565	77	1348787	131	1348787
	"Brain and Other Nervous System"	"31010-31040"	"New Hampshire"	"33"	"2018"	"2018"	0.693	82	1353465	109	1353465
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"1999"	"1999"	0.550	349	8359592	631	8359592
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2000"	"2000"	0.520	339	8430621	643	8430621
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2001"	"2001"	0.508	326	8492671	636	8492671
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2002"	"2002"	0.539	323	8552643	590	8552643
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2003"	"2003"	0.457	313	8601402	675	8601402
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2004"	"2004"	0.519	356	8634561	679	8634561
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2005"	"2005"	0.523	349	8651974	654	8651974
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2006"	"2006"	0.478	325	8661679	665	8661679
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2007"	"2007"	0.534	363	8677885	663	8677885
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2008"	"2008"	0.485	330	8711090	661	8711090
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2009"	"2009"	0.509	353	8755602	664	8755602
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2010"	"2010"	0.506	364	8799446	695	8799446
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2011"	"2011"	0.572	379	8828117	641	8828117
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2012"	"2012"	0.526	395	8844942	702	8844942
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2013"	"2013"	0.497	364	8856972	703	8856972
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2014"	"2014"	0.610	449	8864525	692	8864525
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2015"	"2015"	0.602	420	8867949	663	8867949
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2016"	"2016"	0.637	464	8870827	673	8870827
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2017"	"2017"	0.635	460	8885525	673	8885525
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2018"	"2018"	0.614	454	8886025	692	8886025
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"1999"	"1999"	0.563	68	1808082	123	1808082
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2000"	"2000"	0.560	57	1821204	103	1821204
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2001"	"2001"	0.797	71	1831690	89	1831690
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2002"	"2002"	0.580	62	1855309	108	1855309
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2003"	"2003"	0.790	73	1877574	92	1877574
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2004"	"2004"	0.641	78	1903808	124	1903808
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2005"	"2005"	0.587	70	1932274	117	1932274
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2006"	"2006"	0.632	75	1962137	121	1962137
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2007"	"2007"	0.545	65	1990070	113	1990070
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2008"	"2008"	0.728	94	2010662	125	2010662
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2009"	"2009"	0.566	71	2036802	124	2036802
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2010"	"2010"	0.740	86	2064552	116	2064552
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2011"	"2011"	0.769	88	2080450	112	2080450
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2012"	"2012"	0.606	80	2087309	131	2087309
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2013"	"2013"	0.667	77	2092273	109	2092273
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2014"	"2014"	0.706	89	2089568	122	2089568
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2015"	"2015"	0.712	99	2089291	135	2089291
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2016"	"2016"	0.638	89	2091630	132	2091630
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2017"	"2017"	0.808	113	2091784	135	2091784
	"Brain and Other Nervous System"	"31010-31040"	"New Mexico"	"35"	"2018"	"2018"	0.719	92	2092741	116	2092741
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"1999"	"1999"	0.581	761	18882725	1308	18882725
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2000"	"2000"	0.491	712	19001780	1438	19001780
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2001"	"2001"	0.517	709	19082838	1363	19082838
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2002"	"2002"	0.550	761	19137800	1370	19137800
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2003"	"2003"	0.504	707	19175939	1387	19175939
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2004"	"2004"	0.554	749	19171567	1331	19171567
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2005"	"2005"	0.557	785	19132610	1383	19132610
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2006"	"2006"	0.537	753	19104631	1366	19104631
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2007"	"2007"	0.560	765	19132335	1318	19132335
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2008"	"2008"	0.521	739	19212436	1367	19212436
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2009"	"2009"	0.568	819	19307066	1399	19307066
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2010"	"2010"	0.577	808	19399878	1346	19399878
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2011"	"2011"	0.553	783	19499241	1354	19499241
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2012"	"2012"	0.589	863	19572932	1400	19572932
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2013"	"2013"	0.560	840	19624447	1401	19624447
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2014"	"2014"	0.570	894	19651049	1480	19651049
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2015"	"2015"	0.565	862	19654666	1433	19654666
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2016"	"2016"	0.614	926	19633428	1423	19633428
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2017"	"2017"	0.570	922	19589572	1503	19589572
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2018"	"2018"	0.650	946	19530351	1381	19530351
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"1999"	"1999"	0.703	372	7949361	530	7949361
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2000"	"2000"	0.741	378	8081614	515	8081614
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2001"	"2001"	0.673	346	8210122	519	8210122
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2002"	"2002"	0.682	381	8326201	563	8326201
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2003"	"2003"	0.702	392	8422501	558	8422501
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2004"	"2004"	0.629	370	8553152	587	8553152
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2005"	"2005"	0.557	360	8705407	641	8705407
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2006"	"2006"	0.527	351	8917270	660	8917270
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2007"	"2007"	0.615	385	9118037	611	9118037
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2008"	"2008"	0.673	405	9309449	603	9309449
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2009"	"2009"	0.571	392	9449566	683	9449566
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2010"	"2010"	0.617	445	9574323	712	9574323
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2011"	"2011"	0.638	461	9657592	703	9657592
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2012"	"2012"	0.704	494	9749476	685	9749476
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2013"	"2013"	0.684	509	9843336	719	9843336
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2014"	"2014"	0.698	485	9932887	664	9932887
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2015"	"2015"	0.641	487	10031646	733	10031646
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2016"	"2016"	0.635	484	10154788	720	10154788
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2017"	"2017"	0.712	517	10268233	690	10268233
	"Brain and Other Nervous System"	"31010-31040"	"North Carolina"	"37"	"2018"	"2018"	0.673	510	10381615	719	10381615
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"1999"	"1999"	0.977	39	644259	40	644259
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2000"	"2000"	0.562	24	642023	40	642023
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2001"	"2001"	0.802	41	639062	50	639062
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2002"	"2002"	0.843	38	638168	43	638168
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2003"	"2003"	0.582	27	638817	44	638817
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2004"	"2004"	0.576	27	644705	47	644705
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2005"	"2005"	0.563	35	646089	60	646089
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2006"	"2006"	1.350 (Unreliable)	44	649422	32	649422
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2007"	"2007"	0.640	32	652822	47	652822
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2008"	"2008"	0.631	27	657569	42	657569
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2009"	"2009"	0.837	36	664968	45	664968
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2010"	"2010"	0.574	23	674715	41	674715
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2011"	"2011"	0.719	29	685225	41	685225
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2012"	"2012"	0.579	31	701176	53	701176
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2013"	"2013"	0.765	45	722036	58	722036
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2014"	"2014"	0.681	40	737401	54	737401
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2015"	"2015"	0.709	36	754066	47	754066
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2016"	"2016"	0.558	29	754434	47	754434
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2017"	"2017"	0.698	36	754942	52	754942
	"Brain and Other Nervous System"	"31010-31040"	"North Dakota"	"38"	"2018"	"2018"	0.773	39	758080	49	758080
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"1999"	"1999"	0.678	555	11335454	812	11335454
	"Brain and Other Nervous System"	"31010-31040"	"Ohio"	"39"	"2000"	"2000"	0.658	518	11363543	780	11363543
